bbl,address,office_sqft,total_gross_floor_area,elec_tariff,gas_tariff,steam_tariff,Gas_Jan_2023_kBtu,Gas_Feb_2023_kBtu,Gas_Mar_2023_kBtu,Gas_Apr_2023_kBtu,Gas_May_2023_kBtu,Gas_Jun_2023_kBtu,Gas_Jul_2023_kBtu,Gas_Aug_2023_kBtu,Gas_Sep_2023_kBtu,Gas_Oct_2023_kBtu,Gas_Nov_2023_kBtu,Gas_Dec_2023_kBtu,District_Steam_Jan_2023_kBtu,District_Steam_Feb_2023_kBtu,District_Steam_Mar_2023_kBtu,District_Steam_Apr_2023_kBtu,District_Steam_May_2023_kBtu,District_Steam_Jun_2023_kBtu,District_Steam_Jul_2023_kBtu,District_Steam_Aug_2023_kBtu,District_Steam_Sep_2023_kBtu,District_Steam_Oct_2023_kBtu,District_Steam_Nov_2023_kBtu,District_Steam_Dec_2023_kBtu,Elec_HVAC_Jan_2023_kBtu,Elec_HVAC_Feb_2023_kBtu,Elec_HVAC_Mar_2023_kBtu,Elec_HVAC_Apr_2023_kBtu,Elec_HVAC_May_2023_kBtu,Elec_HVAC_Jun_2023_kBtu,Elec_HVAC_Jul_2023_kBtu,Elec_HVAC_Aug_2023_kBtu,Elec_HVAC_Sep_2023_kBtu,Elec_HVAC_Oct_2023_kBtu,Elec_HVAC_Nov_2023_kBtu,Elec_HVAC_Dec_2023_kBtu,Elec_NonHVAC_Jan_2023_kBtu,Elec_NonHVAC_Feb_2023_kBtu,Elec_NonHVAC_Mar_2023_kBtu,Elec_NonHVAC_Apr_2023_kBtu,Elec_NonHVAC_May_2023_kBtu,Elec_NonHVAC_Jun_2023_kBtu,Elec_NonHVAC_Jul_2023_kBtu,Elec_NonHVAC_Aug_2023_kBtu,Elec_NonHVAC_Sep_2023_kBtu,Elec_NonHVAC_Oct_2023_kBtu,Elec_NonHVAC_Nov_2023_kBtu,Elec_NonHVAC_Dec_2023_kBtu,Gas_Jan_2023_Cost_USD,Gas_Feb_2023_Cost_USD,Gas_Mar_2023_Cost_USD,Gas_Apr_2023_Cost_USD,Gas_May_2023_Cost_USD,Gas_Jun_2023_Cost_USD,Gas_Jul_2023_Cost_USD,Gas_Aug_2023_Cost_USD,Gas_Sep_2023_Cost_USD,Gas_Oct_2023_Cost_USD,Gas_Nov_2023_Cost_USD,Gas_Dec_2023_Cost_USD,Steam_Jan_2023_Cost_USD,Steam_Feb_2023_Cost_USD,Steam_Mar_2023_Cost_USD,Steam_Apr_2023_Cost_USD,Steam_May_2023_Cost_USD,Steam_Jun_2023_Cost_USD,Steam_Jul_2023_Cost_USD,Steam_Aug_2023_Cost_USD,Steam_Sep_2023_Cost_USD,Steam_Oct_2023_Cost_USD,Steam_Nov_2023_Cost_USD,Steam_Dec_2023_Cost_USD,Elec_HVAC_Jan_2023_Cost_USD,Elec_HVAC_Feb_2023_Cost_USD,Elec_HVAC_Mar_2023_Cost_USD,Elec_HVAC_Apr_2023_Cost_USD,Elec_HVAC_May_2023_Cost_USD,Elec_HVAC_Jun_2023_Cost_USD,Elec_HVAC_Jul_2023_Cost_USD,Elec_HVAC_Aug_2023_Cost_USD,Elec_HVAC_Sep_2023_Cost_USD,Elec_HVAC_Oct_2023_Cost_USD,Elec_HVAC_Nov_2023_Cost_USD,Elec_HVAC_Dec_2023_Cost_USD,Elec_NonHVAC_Jan_2023_Cost_USD,Elec_NonHVAC_Feb_2023_Cost_USD,Elec_NonHVAC_Mar_2023_Cost_USD,Elec_NonHVAC_Apr_2023_Cost_USD,Elec_NonHVAC_May_2023_Cost_USD,Elec_NonHVAC_Jun_2023_Cost_USD,Elec_NonHVAC_Jul_2023_Cost_USD,Elec_NonHVAC_Aug_2023_Cost_USD,Elec_NonHVAC_Sep_2023_Cost_USD,Elec_NonHVAC_Oct_2023_Cost_USD,Elec_NonHVAC_Nov_2023_Cost_USD,Elec_NonHVAC_Dec_2023_Cost_USD,pct_office,Office_Elec_Usage_Current_Jan_kBtu,Office_Gas_Usage_Current_Jan_kBtu,Office_Steam_Usage_Current_Jan_kBtu,Office_Elec_Cost_Current_Jan_USD,Office_Gas_Cost_Current_Jan_USD,Office_Steam_Cost_Current_Jan_USD,Office_Elec_Usage_Current_Feb_kBtu,Office_Gas_Usage_Current_Feb_kBtu,Office_Steam_Usage_Current_Feb_kBtu,Office_Elec_Cost_Current_Feb_USD,Office_Gas_Cost_Current_Feb_USD,Office_Steam_Cost_Current_Feb_USD,Office_Elec_Usage_Current_Mar_kBtu,Office_Gas_Usage_Current_Mar_kBtu,Office_Steam_Usage_Current_Mar_kBtu,Office_Elec_Cost_Current_Mar_USD,Office_Gas_Cost_Current_Mar_USD,Office_Steam_Cost_Current_Mar_USD,Office_Elec_Usage_Current_Apr_kBtu,Office_Gas_Usage_Current_Apr_kBtu,Office_Steam_Usage_Current_Apr_kBtu,Office_Elec_Cost_Current_Apr_USD,Office_Gas_Cost_Current_Apr_USD,Office_Steam_Cost_Current_Apr_USD,Office_Elec_Usage_Current_May_kBtu,Office_Gas_Usage_Current_May_kBtu,Office_Steam_Usage_Current_May_kBtu,Office_Elec_Cost_Current_May_USD,Office_Gas_Cost_Current_May_USD,Office_Steam_Cost_Current_May_USD,Office_Elec_Usage_Current_Jun_kBtu,Office_Gas_Usage_Current_Jun_kBtu,Office_Steam_Usage_Current_Jun_kBtu,Office_Elec_Cost_Current_Jun_USD,Office_Gas_Cost_Current_Jun_USD,Office_Steam_Cost_Current_Jun_USD,Office_Elec_Usage_Current_Jul_kBtu,Office_Gas_Usage_Current_Jul_kBtu,Office_Steam_Usage_Current_Jul_kBtu,Office_Elec_Cost_Current_Jul_USD,Office_Gas_Cost_Current_Jul_USD,Office_Steam_Cost_Current_Jul_USD,Office_Elec_Usage_Current_Aug_kBtu,Office_Gas_Usage_Current_Aug_kBtu,Office_Steam_Usage_Current_Aug_kBtu,Office_Elec_Cost_Current_Aug_USD,Office_Gas_Cost_Current_Aug_USD,Office_Steam_Cost_Current_Aug_USD,Office_Elec_Usage_Current_Sep_kBtu,Office_Gas_Usage_Current_Sep_kBtu,Office_Steam_Usage_Current_Sep_kBtu,Office_Elec_Cost_Current_Sep_USD,Office_Gas_Cost_Current_Sep_USD,Office_Steam_Cost_Current_Sep_USD,Office_Elec_Usage_Current_Oct_kBtu,Office_Gas_Usage_Current_Oct_kBtu,Office_Steam_Usage_Current_Oct_kBtu,Office_Elec_Cost_Current_Oct_USD,Office_Gas_Cost_Current_Oct_USD,Office_Steam_Cost_Current_Oct_USD,Office_Elec_Usage_Current_Nov_kBtu,Office_Gas_Usage_Current_Nov_kBtu,Office_Steam_Usage_Current_Nov_kBtu,Office_Elec_Cost_Current_Nov_USD,Office_Gas_Cost_Current_Nov_USD,Office_Steam_Cost_Current_Nov_USD,Office_Elec_Usage_Current_Dec_kBtu,Office_Gas_Usage_Current_Dec_kBtu,Office_Steam_Usage_Current_Dec_kBtu,Office_Elec_Cost_Current_Dec_USD,Office_Gas_Cost_Current_Dec_USD,Office_Steam_Cost_Current_Dec_USD,Elec_HVAC_Jan_2023_Pct,Elec_HVAC_Feb_2023_Pct,Elec_HVAC_Mar_2023_Pct,Elec_HVAC_Apr_2023_Pct,Elec_HVAC_May_2023_Pct,Elec_HVAC_Jun_2023_Pct,Elec_HVAC_Jul_2023_Pct,Elec_HVAC_Aug_2023_Pct,Elec_HVAC_Sep_2023_Pct,Elec_HVAC_Oct_2023_Pct,Elec_HVAC_Nov_2023_Pct,Elec_HVAC_Dec_2023_Pct
1000090014,"17 State St, New York, NY 10004",542515,575860,3163583,SC-4 (Large Volume Firm Service),SC-2 (Annual Power Service),0,0,0,0,0,0,0,0,0,0,0,0,2228697.351,1641629.594,1194470.075,735948.4087,148377.0769,5303.619469,2324.885561,0,70.77527727,169236.1148,965503.5765,1604209.223,627858.4184,492734.9154,491156.4221,240234.93,274297.621,613856.9205,926214.2384,787341.6284,571738.9455,270263.021,346737.63,562368.1334,1208005.882,1247112.285,1383320.578,1361331.27,1406708.979,1202183.18,1166579.362,1202583.372,1213102.655,1406708.979,1361331.27,1211124.467,0,0,0,0,0,0,0,0,0,0,0,0,79703,58708.19,42716.81,26319.09,5306.28,189.67,83.14,0,2.53,6052.25,34528.48,57369.96,31974.1,17396.51,18449.76,9638.29,19792.35,53613.07,81782,63721.03,27455.92,14558.54,15356.06,29789.47,61518.48,44030.58,51962.95,54617,101503.15,104996.33,103005.53,97327.33,58255.33,75776.65,60289.63,64155.06,0.942095301,1729559.131,0,2099645.302,88078.92029,0,75087.82177,1639101.872,0,1546571.526,57870.17284,0,55308.70993,1765935.974,0,1125304.645,66335.48322,0,40243.30597,1508827.991,0,693333.5376,60534.60677,0,24795.09101,1583668.419,0,139785.3469,114271.9206,0,4999.021453,1710882.845,0,4996.51498,149425.1704,0,178.6872157,1971611.017,0,2190.263762,174087.4637,0,78.32580332,1874698.992,0,0,151722.9032,0,0,1681490.885,0,66.67705614,80748.16586,0,2.383501111,1579867.441,0,159436.5485,85104.35801,0,5701.796285,1609163.684,0,909596.3825,71265.44909,0,32529.11876,1670799.045,0,1511317.971,88504.70026,0,54047.96973,0.341996093,0.283205856,0.262023179,0.15,0.163174625,0.338019475,0.442573142,0.395663971,0.320330356,0.16116132,0.202999791,0.317096408
1000090029,"24 State St, New York, NY 10004",835356,835356,84546,SC-4 (Large Volume Firm Service),SC-2 (Annual Power Service),0,0,0,0,0,0,0,0,0,0,0,0,4493238.176,3808257.707,2809883.747,1671120.026,2047683.354,3168637.396,4115817.22,3954437.362,3075213.819,2344073.595,2713496.149,3528474.147,1030810.545,712824.2142,734536.8502,642592.0046,674408.305,1008095.226,982880.4668,1061199.907,760229.6913,407869.005,611884.5046,853660.2148,1984820.555,2053643.585,2276279.75,2236700.995,2311257.695,1975342.974,2056436.833,2036131.793,2039604.409,2311257.695,2236700.995,1993256.285,0,0,0,0,0,0,0,0,0,0,0,0,160687.83,136191.46,100487.47,59762.84,73229.55,113317.27,147190.45,141419.16,109976.24,83829.1,97040.44,126185.8,63168.84,34076.4,39161.79,35632.56,51717.79,93273.24,91219.06,91955.35,43249.62,25500.43,32121.64,48105.93,121631.3,98173.95,121359.73,124027.99,177241.48,182767.1,190853.55,176435.37,116033.5,144502.41,117418.43,112325.09,1,3015631.1,0,4493238.176,184800.14,0,160687.83,2766467.799,0,3808257.707,132250.35,0,136191.46,3010816.6,0,2809883.747,160521.52,0,100487.47,2879293,0,1671120.026,159660.55,0,59762.84,2985666,0,2047683.354,228959.27,0,73229.55,2983438.2,0,3168637.396,276040.34,0,113317.27,3039317.3,0,4115817.22,282072.61,0,147190.45,3097331.7,0,3954437.362,268390.72,0,141419.16,2799834.1,0,3075213.819,159283.12,0,109976.24,2719126.7,0,2344073.595,170002.84,0,83829.1,2848585.5,0,2713496.149,149540.07,0,97040.44,2846916.5,0,3528474.147,160431.02,0,126185.8,0.341822494,0.257665827,0.243965989,0.223177011,0.225882033,0.337897137,0.323388567,0.342617456,0.271526692,0.15,0.214802928,0.299854321
1000100014,"33 Whitehall St, New York, NY 10004",290751.458,365792,3163583,SC-3 (General Firm Service),SC-2 (Annual Power Service),0,0,0,0,0,0,0,0,0,0,0,0,1437583.564,1189256.925,840275.7319,295348.6641,49357.47889,121.0760131,47.35456594,0,0,132824.7955,648296.177,1094960.933,639804.8836,510972.6756,632295.3578,419781.5174,363026.355,577326.0385,736114.5743,734189.7442,528480.7435,223803.355,243620.2174,366095.1886,1004450.716,1037900.125,1145933.442,1138105.882,1176042.745,988428.7612,985198.2258,985697.2558,1001092.356,1176042.745,1138105.882,1017484.511,0,0,0,0,0,0,0,0,0,0,0,0,51411.07,42530.38,30050.06,10562.3,1765.13,4.33,1.69,0,0,4750.1,23184.46,39158.15,32603.51,18057.96,23761.25,16845.56,26205.35,50448.85,65037.34,59450.32,25404.18,12069.97,10806.16,19422.74,51185.33,36679.78,43063.45,45671.45,84893.58,86372.5,87044.42,79815.91,48122.71,63425.34,50482.48,53981.4,0.794854611,1306944.146,0,1142669.925,66599.94585,0,40864.32606,1231128.688,0,945286.3509,43508.54505,0,33805.46867,1413433.362,0,667897.0403,53115.92095,0,23885.42876,1238293.983,0,234759.2476,49691.93369,0,8395.492862,1223336.171,0,39232.0197,88307.49683,0,1403.02172,1244547.423,0,96.23782734,108753.081,0,3.441720467,1368193.417,0,37.63999511,120882.8882,0,1.343304293,1367060.113,0,0,110696.4051,0,0,1215788.232,0,0,58443.18758,0,0,1112674.128,0,105576.4012,60007.79529,0,3775.638889,1098271.362,0,515301.2058,48715.55813,0,18428.27494,1099744.704,0,870334.7469,58345.61917,0,31125.0361,0.389115223,0.329899702,0.355575929,0.269455621,0.235873981,0.368720593,0.427647185,0.426882548,0.345508654,0.159877114,0.176315854,0.2646
1000100023,"1 Whitehall St, New York, NY 10004",316494,321994,83386,SC-3 (General Firm Service),SC-2 (Annual Power Service),0,0,0,0,0,0,0,0,0,0,0,0,1827609.886,1629697.946,1185037.54,475981.39,443911.5087,901727.2801,1279608.893,1121582.24,700006.6628,522541.0117,992674.6631,1500213.979,172396.2125,155876.9625,148860.7969,83500.875,158868.8875,325187.8313,398882.3231,421567.7231,286997.4113,167204.1875,130883.775,176733.4475,422061.3876,434204.1375,481855.4031,473171.625,488944.0125,388863.6687,385530.0769,379648.6769,398764.8887,488944.0125,473171.625,421854.8525,0,0,0,0,0,0,0,0,0,0,0,0,65359.25,58281.49,42379.48,17022.12,15875.23,32247.7,45761.56,40110.19,25033.74,18687.19,35500.17,53650.87,11963.57,8674.16,9220.69,5381.76,10686.4,26560.41,32995.78,32249.28,19290.67,12051.74,7993.35,11465.43,29289.27,24162.37,29846.93,30496.66,32889.07,31761.27,31891.27,29042.53,26803.18,35242.1,28897.6,27367.47,0.982918936,584303.632,0,1796392.365,40548.19762,0,64242.84449,580001.8872,0,1601860.972,32275.64714,0,57285.98016,619942.8965,0,1164795.838,38400.3035,0,41655.59341,547163.9416,0,467851.1216,35265.57843,0,16731.36409,636747.5666,0,436329.028,42831.15462,0,15604.06419,701854.7409,0,886324.8191,57325.48367,0,31696.87498,771013.8019,0,1257751.812,63778.71017,0,44979.90388,787530.7717,0,1102424.422,60244.88069,0,39425.06529,674048.7505,0,688049.8045,45306.51802,0,24606.13709,644940.4909,0,513615.4554,46486.01091,0,18367.99292,593737.4913,0,975718.724,36260.81334,0,34893.78934,588363.7752,0,1474588.729,38169.59276,0,52734.45608,0.290005902,0.26416193,0.236018667,0.15,0.245238845,0.455412294,0.508510986,0.526159628,0.418508587,0.254826863,0.216675118,0.295250421
1000130001,"1 Broadway, New York, NY 10004",180000,230911,3163581,SC-2 (Small General Service),SC-2 (Annual Power Service),727,331,332,669,97,0,0,4,2,0,14,400,0,0,0,0,0,0,0,0,0,0,0,0,370600.0234,295759.0589,304693.662,157348.5581,86445.24,146901.0034,298438.344,310113.549,306837.7984,111410.24,150690.4581,311826.3784,413425.9766,428367.1411,475347.138,474054.5419,489856.36,435969.0966,412483.456,409456.551,394504.0016,489856.36,474054.5419,416224.7216,20.89,10.87,10.9,19.43,4.95,0,0,2.6,2.55,0,2.85,12.62,0,0,0,0,0,0,0,0,0,0,0,0,21817.43,12714.14,14029.65,7697.3,5408,11202.98,23212.22,21847.97,17841.01,7045.12,7937.73,19101,24338.62,18414.72,21887.4,23190.16,30645.36,33247.93,32082.53,28846.83,22938.35,30976.49,24971.15,25495.94,0.779521114,611164.8211,566.71185,0,35979.61552,16.28419608,0,564471.6622,258.0214888,0,24265.60363,8.473394511,0,608058.2735,258.8010099,0,27998.09883,8.496780145,0,492192.048,521.4996254,0,24077.42723,15.14609525,0,449239.2653,75.61354808,0,28104.35536,3.858629515,0,454359.5498,0,0,34650.42289,0,0,554178.5536,0,0,43103.42513,0,0,560920.0861,3.118084457,0,39517.66698,2.026754897,0,546710.7414,1.559042228,0,31788.37214,1.987778841,0,468700.01,0,0,29638.64779,0,0,487001.9185,10.9132956,0,25653.1668,2.221635175,0,567531.2047,311.8084457,0,34764.25636,9.837556461,0,0.472688436,0.408435793,0.390612468,0.249204602,0.15,0.252030433,0.419790677,0.430970588,0.437501085,0.185292581,0.241203144,0.428302874
1000130005,"11 Broadway, New York, NY 10004",411720,434220,3163583,SC-3 (General Firm Service),SC-2 (Annual Power Service),0,0,0,0,0,0,0,0,0,0,0,0,2641985.12,2324074.718,1985295.23,780469.5983,53968.52968,72.63043761,55.54618443,4592.354591,2832.318728,265779.6373,1482158.16,2402142.957,210716.8833,133960.1652,171013.2113,246578.9532,329073.025,669355.5869,929672.4037,1014492.364,790474.7519,302769.425,101098.1532,171920.0133,475968.0167,492450.1348,544131.6888,534459.8468,552275.175,360923.2131,311248.9963,289258.6363,329521.9481,552275.175,534459.8468,477815.4867,0,0,0,0,0,0,0,0,0,0,0,0,94483.05,83113.89,70998.41,27911.27,1930.03,2.6,1.99,164.23,101.29,9504.85,53005.15,85905.78,10830.38,4795.92,6503,9976.59,23839.7,58605.81,82250.38,82248.22,38096.17,16402.38,4527.43,9193.7,24463.71,17630.27,20691.3,21624.27,40009.59,31600.84,27536.95,23451.14,15880.99,29919.23,23934.46,25551.95,0.948182949,651102.9133,0,2505085.242,33465.25433,0,89587.21695,593951.5654,0,2203648.019,21264.13096,0,78807.1733,678088.2002,0,1882423.085,25785.17156,0,67319.48175,740567.6725,0,740027.9651,29963.39662,0,26464.99029,835679.3351,0,51172.03961,60540.80807,0,1830.021537,976892.7906,0,68.8669425,85532.40739,0,2.465275667,1176620.512,0,52.66794494,104098.4743,0,1.886884068,1236194.468,0,4354.392318,100222.3308,0,155.7200857,1061961.774,0,2685.556323,51180.22273,0,96.04145088,810738.7101,0,252007.7202,43921.36076,0,9012.3367,602625.2585,0,1405357.095,26987.07879,0,50258.57943,616068.1223,0,2277670.992,32945.23287,0,81454.39579,0.306861099,0.213853708,0.239130855,0.315706407,0.373374592,0.649683937,0.749179121,0.778133527,0.705783108,0.354097815,0.159069909,0.2646
1000130027,"25 Broadway, New York, NY 10004",767690,809401,84546,SC-4 (Large Volume Firm Service),SC-2 (Annual Power Service),0,0,0,0,0,0,0,0,0,0,0,0,3849621.6,3592980.2,3079697.3,2053131.5,1026565.8,513282.9,513282.9,513282.9,769924.3,1539848.7,2566414.4,3592980.2,1938707.277,1568085.624,929321.3318,724745.45,612739.335,1346049.968,1930128.932,1930128.932,1346049.968,885067.935,1269402.65,1938707.277,2963207.423,3061500.476,3427936.168,3360183.45,3472189.565,3011207.532,2971785.768,2971785.768,3011207.532,3472189.565,3360183.45,2963207.423,0,0,0,0,0,0,0,0,0,0,0,0,137670.72,128492.68,110136.58,73424.38,36712.19,18356.1,18356.1,18356.1,27534.14,55068.29,91780.48,128492.68,118677.3,74851.42,49495.72,40149.28,46958.86,124467.95,179001.11,167126.33,76487.31,55269.47,66552.24,109102.02,181391.73,146138.5,182572.14,186146.67,266100.2,278443.48,275604.89,257321.48,171107.45,216826.39,176167.68,166756.43,0.948466829,4649303.492,0,3651238.392,284605.5214,0,130576.1113,4391008.849,0,3407822.538,209601.6087,0,121871.0448,4132714.205,0,2920990.733,220108.6673,0,104460.8928,3874419.561,0,1947327.124,214634.2022,0,69640.58888,3874419.561,0,973663.6093,296926.134,0,34820.29444,4132714.205,0,486831.8046,382148.1264,0,17410.15196,4649303.492,0,486831.8046,431178.7113,0,17410.15196,4649303.492,0,486831.8046,402574.6685,0,17410.15196,4132714.205,0,730247.6595,234835.4169,0,26115.21846,4132714.205,0,1460495.414,258073.8976,0,52230.4464,4391008.849,0,2434158.928,230211.7929,0,87050.74085,4649303.492,0,3407822.538,261642.5894,0,121871.0448,0.395500003,0.338709679,0.213281251,0.177419355,0.15,0.308921373,0.393750004,0.393750004,0.308921373,0.203125001,0.27419355,0.395500003
1000160260,"200 W St, New York, NY 10282",1834182.7,2157862,84546,SC-4 (Large Volume Firm Service),SC-2 (Annual Power Service),212000.3,217077,253667.9,197080,221110.3,197349.7,167844.8,196818.4,202533.4,210737.5,230869.2,244369.6,9979942.681,13055419.66,9119882.949,4680407.784,3139790.598,1059714.97,542335.9323,559613.8938,571132.6151,649843.3285,2850863.642,7698292.845,3443965.694,3274533.066,3202915.842,2340634.8,3352077.54,4535804.385,7992552.744,4756089.474,4217350.455,1976346.84,2103885.6,2411528.309,6653171.606,6841165.134,7594264.258,7496887.8,7746784.06,6320938.515,5674640.756,6513723.826,6403500.645,7746784.06,7496887.8,6702335.291,4379.34,4483.41,5233.53,4073.47,4566.09,4079,3474.15,4068.11,4185.27,4353.45,4766.15,5042.91,356904.15,466889.8,326146.57,167381.42,112285.64,37897.68,19395.1,20012.99,20424.93,23239.79,101953,275307.46,210633.95,156121.55,170353.14,129490.97,256615.57,419096.04,740669.63,411525.55,239346.65,123281.19,110183.57,135591.6,406909.92,326169.65,403915.33,414750.41,593048.76,584037.6,525868.8,563606.68,363416.89,483231.34,392623.01,376848.3,0.85,8582566.705,180200.255,8482951.279,524912.2895,3722.439,303368.5275,8598343.47,184515.45,11097106.71,409947.52,3810.8985,396856.33,9177603.085,215617.715,7751900.507,488128.1995,4448.5005,277224.5845,8361894.21,167518,3978346.616,462605.173,3462.4495,142274.207,9434032.36,187943.755,2668822.008,722214.6805,3881.1765,95442.794,9228231.465,167747.245,900757.7245,852663.594,3467.15,32213.028,11617114.48,142668.08,460985.5425,1076557.666,2953.0275,16485.835,9579341.305,167295.64,475671.8097,828862.3955,3457.8935,17011.0415,9027723.435,172153.39,485462.7228,512349.009,3557.4795,17361.1905,8264661.265,179126.875,552366.8292,515535.6505,3700.4325,19753.8215,8160657.39,196238.82,2423234.096,427385.593,4051.2275,86660.05,7746784.06,207714.16,6543548.918,435573.915,4286.4735,234011.341,0.341083378,0.323708063,0.296643736,0.237929293,0.302019942,0.417786847,0.584798389,0.422020254,0.397082156,0.203262392,0.219137096,0.2646
1000200004,"39 Broadway, New York, NY 10006",447442,447442,3163581,SC-3 (General Firm Service),SC-2 (Annual Power Service),18234,18234,21808,18855,19321,20254,17923,19062,20910,18855,17716,20047,3192814.103,2682070.215,1698823.448,809131.5153,390096.7129,14915.2774,16293.71495,54695.72611,317457.9007,996152.9753,1836081.883,2413112.128,258989.9553,177805.8247,217052.9363,165180.315,198844.8822,402984.2003,709991.7059,638281.4609,419488.7602,149147.3822,132164.115,257152.7703,668694.1447,690534.3753,763558.4637,748929.985,773894.3178,644452.5997,589822.3941,608413.9391,640173.6398,773894.3178,748929.985,668781.6297,406.15,406.15,484.78,419.81,430.06,450.59,399.31,424.36,465.02,419.81,394.75,446.03,114181.88,95916.58,60753.57,28936.28,13950.69,533.4,582.7,1956.04,11352.98,35624.57,65662.22,86298.06,15243.33,7640.89,9990.14,8074.75,12429.55,30710.95,55189.71,44940.79,24376.91,9425.21,6957.66,15746.67,39357.22,29674.5,35143.77,36611.03,48375.18,49112.96,45848.6,42837.84,37201.13,48905.45,39426.75,40952.62,1,927684.1,18234,3192814.103,54600.55,406.15,114181.88,868340.2,18234,2682070.215,37315.39,406.15,95916.58,980611.4,21808,1698823.448,45133.91,484.78,60753.57,914110.3,18855,809131.5153,44685.78,419.81,28936.28,972739.2,19321,390096.7129,60804.73,430.06,13950.69,1047436.8,20254,14915.2774,79823.91,450.59,533.4,1299814.1,17923,16293.71495,101038.31,399.31,582.7,1246695.4,19062,54695.72611,87778.63,424.36,1956.04,1059662.4,20910,317457.9007,61578.04,465.02,11352.98,923041.7,18855,996152.9753,58330.66,419.81,35624.57,881094.1,17716,1836081.883,46384.41,394.75,65662.22,925934.4,20047,2413112.128,56699.29,446.03,86298.06,0.279179039,0.204765165,0.221344496,0.180700639,0.204417466,0.384733666,0.546225576,0.511978677,0.395870194,0.161582496,0.15,0.27772245
1000200009,"45 Broadway, New York, NY 10006",368305,394763,3163585,SC-3 (General Firm Service),SC-2 (Annual Power Service),17229,24408,40166,22101,35524,22191,16431,18327,14090,16462,14628,14870,1381847.511,1158387.225,798737.1302,396848.517,130387.8732,489.9941923,0,0,0,173363.1124,672424.1084,1025221.929,377331.1382,277062.3447,296174.298,221538.407,290142.86,464271.7594,633135.771,622492.506,446078.3494,199484.16,271232.107,367571.2832,976792.8618,1007822.256,1116306.702,1093945.394,1130410.24,973578.6411,966263.929,969023.294,978295.4511,1130410.24,1093945.394,977257.6168,384.04,541.98,888.65,491.22,786.53,493.2,366.48,408.19,314.98,367.16,326.82,332.14,49417.83,41426.41,28564.55,14192.15,4662.95,17.52,0,0,0,6199.84,24047.33,36664.13,19219.66,9782.1,11134.83,8892.88,23266.77,44758.19,61426.55,55779.41,21656.24,10830.42,12013.84,19473.08,49753.73,35582.69,41968.16,43912.6,90648.45,93858,93746.5,86830.83,47494.36,61372.36,48454.74,51772.87,0.932977508,1263367.235,16074.26949,1289232.647,64350.62152,358.3006822,46105.72389,1198768.433,22772.11502,1080749.227,42324.32873,505.6551498,38649.90877,1317813.004,37473.97459,745203.7773,49543.89528,829.0904625,26650.08268,1227316.799,20619.7359,370250.7405,49266.32514,458.2972115,13240.95674,1325344.091,33143.093,121648.953,106280.3381,733.8147994,4350.427471,1341482.084,20703.70388,457.1535605,129325.7875,460.144507,16.34576594,1492203.946,15329.75343,0,144772.9655,341.9175971,0,1484848.445,17098.67879,0,133052.1463,380.832089,0,1328908.719,13145.65309,0,64515.95447,293.8692555,0,1240761.563,15358.67574,161743.8846,67363.56976,342.5520218,5784.311273,1273679.903,13647.59499,627356.569,56415.82508,304.9157092,22435.61802,1254695.116,13873.37554,956509.0005,66470.86889,309.8791495,34206.80864,0.278653313,0.215632084,0.209683739,0.168408312,0.204246402,0.322892951,0.395858378,0.391131842,0.313175059,0.15,0.198679005,0.273321969
1000200016,"55 Broadway, New York, NY 10006",298081,354072,3163583,SC-3 (General Firm Service),SC-2 (Annual Power Service),204,184,204,1497,41,0,0,0,0,0,0,0,1766819.1,1523158.868,1097712.458,580352.1524,255752.2732,42171.77633,0,0,0,0,821912.4768,1564550.395,349552.7979,315824.2549,251950.6817,159872.955,275947.4302,748749.6293,516874.4057,539928.8957,425144.6392,201236.0302,178963.555,354820.9629,807162.2021,830511.0451,924147.3183,905946.745,936144.9698,711826.4707,802140.4943,796163.4043,795724.0608,936144.9698,905946.745,806911.3371,9.49,9.05,9.49,37.93,5.9,0,0,0,0,0,0,0,63185.24,54471.43,39256.55,20754.64,9146.25,1508.15,0,0,0,0,29393.35,55951.68,17859.11,11196.05,9506.93,6440.14,19945.34,65446.3,45715.95,43768.45,20473.19,10870.63,7955.97,18849.96,41238.96,29441.81,34871.11,36494.11,67664.1,62218.95,70946.86,64539.67,38318.75,50569.88,40274.62,42867.39,0.841865496,973798.4475,171.7405612,1487424.038,49752.62603,7.98930356,53193.47343,965060.1362,154.9032513,1282294.896,34211.61218,7.618882741,45857.61745,990116.3264,171.7405612,924126.2432,37360.34067,7.98930356,33048.73495,897276.8307,1260.272648,488578.4528,36144.86368,31.93195827,17472.6153,1020418.77,34.51648535,215309.0144,73755.36468,4.967006428,7699.912295,1229608.623,0,35502.96341,107476.969,0,1269.659448,1110433.133,0,0,98214.39444,0,0,1124810.007,0,0,91180.8692,0,0,1027807.234,0,0,49494.90575,0,0,957521.82,0,0,51724.64544,0,0,913348.5481,0,691939.7552,40603.66959,0,24745.24719,978022.3393,0,1317140.995,51957.70749,0,47103.78885,0.302194402,0.275507746,0.214225925,0.15,0.227662041,0.51263993,0.391863963,0.404110476,0.348231255,0.176929305,0.164957006,0.305424032
